ID,CATEGORY,CLUE,ANSWER,CLASSIFICATION
315,"<a href=""https://www.j-archive.com/media/2022-02-08_J_Cat6.mp4"">STUFF YOU SHOULD KNOW</a>","(<a href=""https://www.j-archive.com/media/2022-02-08_J_18.mp4"">Chuck Bryant reads the clue.</a>)  In 2014, a so-called ""hurricane"" 600 miles wide arose in the ionosphere over the North Pole; the cyclone was composed of this substance dubbed ""the 4th state of matter""",plasma,Science
90,CHEERS,It's the booze that's in both a Bloody Mary & a screwdriver,vodka,Other
371,HOW TO,"In Italy, with pronto, in the Netherlands, with your name, & in the U.S., with hello",how do you answer the telephone,Other
32,COLORFUL OSCAR-WINNING FILMS,"I'm just Wilde about Harry Stradling, who won a cinematography Oscar for this novel adaptation",<i>The Picture of Dorian Gray</i>,Other
330,WHICH CAME FIRST?,"Castro,
Stalin,
Lenin,
Tito",Lenin,History
8,TIME FOR AN APP,"The ""world's largest professional network"", it's like Facebook but for finding jobs & making business connections",LinkedIn,Other
175,THINGS WITH POCKETS,A fob pocket on a vest or a pair of pants was originally designed to carry this,a watch,History
43,HOMOPHONES,"Someone residing in a foreign land; or, Drew Bledsoe, now with the Buffalo Bills",expatriate/ex-Patriot,Other
230,ASSASSINATIONS,"After the assassination of Sancho II in 1072, this Spanish nat'l hero entered the service of Alfonso VI",El Cid,History
267,GEOGRAPHIC ETYMOLOGY,This European capital's name comes from a barrier built across a river flowing through it,Amsterdam,Geography
413,JOURNALISM CLICHES,"A recent search on the nexis.com database found 580 uses in a month of ""shrouded in secrecy"" or ""shrouded in"" this",mystery,Literature
64,THE THEATRE,This murderous barber has a chair that can suddenly drop a victim via trap door into a cellar,Sweeney Todd,Other
35,COLLEGES & UNIVERSITIES,This Poughkeepsie school was the first of the seven sisters to be coeducational,Vassar,History
438,DISNEY SONGS,Simba & Nala sing it on realizing they've found romance,"""Can You Feel The Love Tonight""",Other
420,HOW TO MARRY A MILLIONAIRE,"Like Manilow's ""Lola"",  <a href=""http://www.j-archive.com/media/2006-04-20_J_11.jpg"" target=""_blank"">Evelyn Nesbitt</a> was one of these theater females; in 1906, her rich, crazy husband shot her ex-lover",showgirl,Other
295,NOVELS,This novel by J.D. Salinger chronicles 2 days in the life of a prep school student,<i>The Catcher in the Rye</i>,Literature
259,"GIVE UP THE ""SHIP""!","The status of belonging to an organization, or the number of people who belong to one",membership,Other
121,COLORFUL MOVIES,"""Pirates of the Caribbean: The Curse of the ____ Pearl""",Black,Other
40,BODIES OF WATER,2 directions that complete the names of China seas,South China Sea & East China Sea,Geography
315,"<a href=""https://www.j-archive.com/media/2022-02-08_J_Cat6.mp4"">STUFF YOU SHOULD KNOW</a>","(<a href=""https://www.j-archive.com/media/2022-02-08_J_18.mp4"">Chuck Bryant reads the clue.</a>)  In 2014, a so-called ""hurricane"" 600 miles wide arose in the ionosphere over the North Pole; the cyclone was composed of this substance dubbed ""the 4th state of matter""",plasma,Science
203,LIFE OF A SALESMAN,"His name means ""coal miner"", but he was a book salesman who started a weekly magazine in 1895",Peter Fenelon Collier,Literature
166,TRANSPORTATION,"The USA's largest delivery company, it's brown vans are washed daily",UPS,Other
422,THE OSCARS,Oscar holds one of these,sword,Other
287,THEY DIFFER BY ONE LETTER,A mallard's playing card set,a duck deck,Other
57,THE LIBRARY OF CONGRESS,"Registered in 1893 by Thomas Edison, ""...Record of a Sneeze"" is the earliest known copyright for one of these",Motion picture,History
405,IN THE OCEAN,"The ""Eurotunnel"" to link France & England is being dug under this strait",the Strait of Calais (the Pas de Calais or the Dover Strait),Geography
378,"STARTS WITH ""WH""",It's the watery part of milk that separates from the curds when making cheese,whey,Other
487,BASEBALL LIT,Roger Angell's classic baseball articles include a profile of this Hall of Fame Cardinals pitcher of the '60s,Bob Gibson,Other
67,5-LETTER WORDS,The 10 Commandments say not to do this to another man's house or wife,covet,Literature
214,MAGAZINES,"A combination of bits processed by a computer as a unit, or a computer magazine",byte,Science
256,5-LETTER WORDS,"MTV's 1997 award for Best New Artist in a Video went to this ""Sleep to Dream"" singer with 2 5-letter names",Fiona Apple,Other
105,"""Y"" NOT","In Chinese dualistic philosophy, Yin is the female cosmic principle; this is the male",Yang,Other
285,RED,"Seen <a href=""http://www.j-archive.com/media/2001-09-27_J_07.jpg"" target=""_blank"">here</a>, it's rolled out for important occasions",the red carpet,Other
52,NEWSPAPERS,In 1946 financier Eugene Meyer turned over the operations of this newspaper to his son-in-law Philip Graham,the Washington Post,Literature
167,THE ARTS,"Sadly, mental illness ended the career of <a href=""https://www.j-archive.com/media/2023-05-22_J_02.jpg"" target=""_blank"">this</a> Russian-born ballet dancer in 1919 while he was still in his 20s",Nijinsky,Other
222,RHYME TIME,"A quick, casual kiss on the nape",a neck peck,Other
215,WOMEN DIRECTORS,"Penny Marshall made her directing debut on this sitcom; she starred on it, too","""Laverne And Shirley""",Other
244,"ON THE ""B""-LIST","The late, great Bill Monroe was considered ""The Father of"" this type of music",Bluegrass,Other
428,TOP 40 MATH,"Tennessee Ernie Ford's ""Tons"" times Eddie Money's ""Tickets To Paradise""",32,Other
490,"MIND YOUR ""P""s & ""Q""s","Soft wet miry land, like Vietnam, or a predicament, like Vietnam in the '70s",a quagmire,Other
478,FAMILY FILMS,"This film from Joel & Ethan Coen was partly based on Homer's ""Odyssey""","<i>O Brother, Where Art Thou?</i>",Other
414,SCI FI MOVIE SUMMARIES,1977: Certain folks can't get a Wyoming landmark out of their heads & go there to meet new friends,<i>Close Encounters of the Third Kind</i>,Other
84,POLITICAL TERMS,"A room used in sound recording, this phrase means a group of people who repeat & reinforce each other's beliefs",echo chamber,Other
438,DISNEY SONGS,Simba & Nala sing it on realizing they've found romance,"""Can You Feel The Love Tonight""",Other
54,HIGH SCHOOL NAMES,"A Washington-area high school bears the name of this Senators pitcher, ""The Big Train""",Walter Johnson,Other
408,STATE CAPITALS,It lies at the confluence of the Mississippi & Minnesota rivers,St. Paul,Geography
443,THE SUPREME COURT,"Every attorney who argues a case before the Supreme Court receives this type of pen, but not the inkwell",a quill,Other
422,THE OSCARS,Oscar holds one of these,sword,Other
215,WOMEN DIRECTORS,"Penny Marshall made her directing debut on this sitcom; she starred on it, too","""Laverne And Shirley""",Other
375,POTPOURRI,The portrait on the U.S. $5 bill is from a photograph taken at this man's studio,Mathew Brady,History
96,LANDMARKS,Paris locale where you'd go to view the Mona Lisa,the Louvre,Geography
206,YOU'VE GOT TASTE,The Oyster Perpetual is a legendary watch from this upscale brand,Rolex,Other
99,FAIRY TALES,She lived with a septet of men who didn't even get names until 1937,Snow White,Literature
357,PARADISE BY,"""Do you love me? Will you love me forever?"" are lyrics in this singer's ""Paradise By The Dashboard Light""",Meat Loaf,Other
60,POTENT POTABLES,"Like a white rose cocktail, a white baby contains this liquor -- you might prefer the dry type",gin,Other
362,WHAT'S IN YOUR BRAIN?,Sulci are grooves on the brain surface; this German pathologist noted wide sulci in a 1906 autopsy of a dementia patient,Alzheimer,Science
77,THE QUOTABLE CHURCHILL,"This ""at all costs,"" this ""in spite of all terror,"" this ""however long and hard the road may be"" (V is for...)",victory,History
488,KABUL STONES,The workers of the Kabul Museum risked their lives to save stone figures from destruction by this group in 2001,the Taliban,History
155,CELEBRITIES,"An Oscar-winner for ""Dreamgirls"", in 2022 <a href=""https://www.j-archive.com/media/2022-10-18_J_01.jpg"" target=""_blank"">she</a> became an EGOT, adding a Tony for ""A Strange Loop"", which she co-produced",(Jennifer) Hudson,Other
337,"""LL""","Pre-lite beer he'd already starred in films, not only as the hero he created but as himself",Mickey Spillane,Other
34,THE 18th CENTURY,In 1789 General Nguyen Hue led an attack on Chinese forces during this holiday,Tet,History
243,SPELLED THE SAME,"Either an agricultural yield, or to manufacture something",produce,Other
338,INTERNATIONAL CUISINE,Hungary is famous for this beef stew flavored with paprika,goulash,Other
36,ENGLISH LANGUAGE WRITERS,"In his journal of 1710 to 1713, he referred to himself as ""Presto""",Jonathan Swift,Literature
318,LET'S SEE IF IT PAYS OFF FOR 'EM,"In 1996, one year after its founding, AuctionWeb moved more than $7 million in merchandise & in 1997 got this new name",eBay,History
312,TRAVELING ABROAD,Take firth things firth; the Antonine Wall was built across Scotland from the Firth of Clyde to this firth,the Firth of Forth,Geography
79,CHARACTERS IN PLAYS,In this play Veta Simmons tries to get her brother Elwood P. Dowd committed to a sanitorium,<i>Harvey</i>,Literature
74,LET'S GUESS YOUR WAIT,"An elderly woman recognizes this now-old Washington Irving character & asks, ""Where have you been these twenty long years?""",Rip Van Winkle,Literature
187,FAMOUS FRENCH FOLKS,"Seen <a href=""http://www.j-archive.com/media/2012-05-10_DJ_20.jpg"" target=""_blank"">here</a> is a wax figure of <a href=""http://www.j-archive.com/media/2012-05-10_DJ_20.jpg"" target=""_blank"">this</a> woman who survived France's Reign of Terror to found her own
wax museum",Madame Tussaud,History
195,POP CULTURE-POURRI,It's the title of a 1978 Brooke Shields film & a 2023 documentary series about Brooke Shields,<i>Pretty Baby</i>,Other
373,COOKING WITH GRAHAM KERR,"Toheroa, a giant green type of this shellfish shows up in one of Graham's special soups",clam,Other
8,TIME FOR AN APP,"The ""world's largest professional network"", it's like Facebook but for finding jobs & making business connections",LinkedIn,Other
259,"GIVE UP THE ""SHIP""!","The status of belonging to an organization, or the number of people who belong to one",membership,Other
268,"SEMPER ""FI""","Countable, with an end or limit",finite,Other
263,NEW ENGLAND HODGEPODGE,"Rockland, the ""Schooner Capital of"" this state, celebrates Schooner Days once a year",Maine,History
281,SHAKING UP SHAKESPEARE,"Coach Benedick & Professor Beatrice face off in ""About Face"", a college-set musical update of this comedy",<i>Much Ado About Nothing</i>,Other
90,CHEERS,It's the booze that's in both a Bloody Mary & a screwdriver,vodka,Other
462,CHARITABLE FOLKS,"L.A. has a contemporary art museum & a playhouse named for <a href=""http://www.j-archive.com/media/2018-03-02_J_20.jpg"" target=""_blank"">this</a> music & movie mogul",David Geffen,Other
396,TRADING PLACES,Its location at 18 Broad Street near Wall Street was designated a national historic landmark in 1978,the New York Stock Exchange,Geography
370,SIT ON IT!,"At the Jackie Kennedy Onassis auction in 1996, one of these chairs used by JFK sold for $442,500",a rocking chair,History
478,FAMILY FILMS,"This film from Joel & Ethan Coen was partly based on Homer's ""Odyssey""","<i>O Brother, Where Art Thou?</i>",Other
476,"""S""TUFF",This term for the illegal selling of concert tickets sounds like a bad way to lose your hair,scalping,Other
366,HOSPITALS,"Now closed, the D.C. hospital named for him opened in 1909 & in WWI, went from 80 beds to 2,500 in months",Walter Reed,History
394,EUROPEAN NATIONAL ANTHEMS,"""La Brabanconne""",Belgium,Other
206,YOU'VE GOT TASTE,The Oyster Perpetual is a legendary watch from this upscale brand,Rolex,Other
273,"ON ""Q""",It's the Indian name for a large hard-shell clam,a quahog,Other
91,THE 1980s,"In 1985, 55 years after his death, a memorial to D.H. Lawrence was unveiled in this church's Poet's Corner",Westminster Abbey,Geography
459,STATE THE STATE,"<a href=""http://www.j-archive.com/media/2010-05-31_J_12.jpg"" target=""_blank"">It</a>'s bigger than it looks",Montana,Geography
252,THAT'S MISTER TO YOU,"Pity the fool who doesn't know that he played Clubber Lang in ""Rocky III""",Mr. T,Other
112,CELEBRITY MEMOIRS,"It's no dream--Arnold Schwarzenegger really did title his 2012 memoir this, like that of his 1990 sci-fi thriller",<i>Total Recall</i>,Literature
0,COLLEGES & UNIVERSITIES,"This Hanover, New Hampshire college was established in 1770 when Eleazer Wheelock erected a single log hut",Dartmouth,Geography
423,FRIEND LIKE ME,"George Vancouver named the highest point in Washington state for his friend Pete, this British admiral",(Peter) Rainier,Geography
332,SPEECH!  SPEECH!,"Farewell address to Congress, April 19, 1951",Douglas MacArthur,History
101,"IN THE ""SPRING"" TIME","A beginning from which an enterprise is launched, it's also a summer Olympic diving event",a springboard,Other
326,THE NEANDERTHALS,"Some Neanderthals hunted megafauna like the mammoth, the wooly rhino & this wild ox, the ancestor of domestic cattle",the aurochs,History
177,PRO BASKETBALL,"On Nov. 24, 1960 this Philadelphia Warrior had 55 rebounds, still the one-game NBA record",Wilt Chamberlain,History
207,"LET'S TALK ABOUT ""SEX""",This person is in charge of the holy objects of a church,the sexton,History
458,AUTHORS,"This author's ""The Scarlet Letter"" was inspired by a red cloth he found at the Salem Custom House",Nathaniel Hawthorne,Literature
134,5-LETTER WORDS,"Since this 1980 song was his only #1 hit, it's no wonder Eddie Rabbitt loved this kind of night",rainy,Other
208,LABOR,"From Spanish for ""arm"", name for migrant fruit pickers",braceros,Other
73,"GET ""IN""",Adjective for evidence not allowable in court,inadmissible,Other
139,RELIGIOUS LEADERS,"John Carroll, the first Roman Catholic bishop in the U.S., founded this D.C. university in 1789",Georgetown,Science
306,THE EISNER AWARDS,"A ""Batman"" <a href=""http://www.j-archive.com/media/2019-02-13_DJ_23.jpg"" target=""_blank"">cover</a> with the Joker & this villain helped Alex Ross win Best Cover award for 1999",Harley Quinn,Literature
217,ANGELIC SONGS,"In 1961, Curtis Lee described these as ""Pretty Little""","""Angel Eyes""",History
443,THE SUPREME COURT,"Every attorney who argues a case before the Supreme Court receives this type of pen, but not the inkwell",a quill,History
22,BIRDLIKE VERBS,To worry persistently in a gloomy way,brood,Other
460,"<a href=""https://www.j-archive.com/media/JM_2023-05-22_DJ_Cat6.mp4"">PURE POETRY</a>","(<a href=""https://www.j-archive.com/media/JM_2023-05-22_DJ_13.mp4"">Ada Limón reads.</a>)  From French for ""step over"", this technique in which a thought runs on from one line to the next imports a free-flowing feel, as in Eliot's ""April is the cruellest month, breeding
/ Lilacs out of the dead land""",enjambment,Literature
85,THE EMMYS 1967,"I'm a believer in this TV series that beat out ""Bewitched"" to win Best Comedy",<i>The Monkees</i>,History
4,ARCHITECTURE,"This term for wooden paneling comes from the Middle Dutch ""wagenschot"", perhaps meaning wagon wood",wainscoting,History
457,NICARAGUA,"Nicaragua is the poorest country in Central America & 300,000 of its 6 million people have moved to this country just south",Costa Rica,Science
251,ROYAL LITERATURE,1920: By Eugene O'Neill,<i>The Emperor Jones</i>,Literature
405,IN THE OCEAN,"The ""Eurotunnel"" to link France & England is being dug under this strait",the Strait of Calais (the Pas de Calais or the Dover Strait),History
209,THE BODY,This word for an upper chamber of the heart is also used for a sunny central courtyard,atrium,Science
205,TV SHOW PEOPLE,"Luke Danes;
Lorelai & Rory
(their last name would kinda give the clue away)",<i>The Gilmore Girls</i>,History
406,ROCK ART,"She's painted the covers for many of her own albums, including ""Ladies of the Canyon"" & ""Both Sides Now""",Joni Mitchell,History
